STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
KCK,H,20,FLOW,20181001 0000,20181001 0000,3, ,CFS
KCK,H,20,FLOW,20181001 0100,20181001 0100,3, ,CFS
KCK,H,20,FLOW,20181001 0200,20181001 0200,3, ,CFS
KCK,H,20,FLOW,20181001 0300,20181001 0300,3, ,CFS
KCK,H,20,FLOW,20181001 0400,20181001 0400,3, ,CFS
KCK,H,20,FLOW,20181001 0500,20181001 0500,3, ,CFS
KCK,H,20,FLOW,20181001 0600,20181001 0600,3, ,CFS
KCK,H,20,FLOW,20181001 0700,20181001 0700,3, ,CFS
KCK,H,20,FLOW,20181001 0800,20181001 0800,3, ,CFS
KCK,H,20,FLOW,20181001 0900,20181001 0900,3, ,CFS
KCK,H,20,FLOW,20181001 1000,20181001 1000,3, ,CFS
KCK,H,20,FLOW,20181001 1100,20181001 1100,3, ,CFS
KCK,H,20,FLOW,20181001 1200,20181001 1200,3, ,CFS
KCK,H,20,FLOW,20181001 1300,20181001 1300,3, ,CFS
KCK,H,20,FLOW,20181001 1400,20181001 1400,3, ,CFS
KCK,H,20,FLOW,20181001 1500,20181001 1500,3, ,CFS
KCK,H,20,FLOW,20181001 1600,20181001 1600,3, ,CFS
KCK,H,20,FLOW,20181001 1700,20181001 1700,3, ,CFS
KCK,H,20,FLOW,20181001 1800,20181001 1800,3, ,CFS
KCK,H,20,FLOW,20181001 1900,20181001 1900,3, ,CFS
KCK,H,20,FLOW,20181001 2000,20181001 2000,3, ,CFS
KCK,H,20,FLOW,20181001 2100,20181001 2100,3, ,CFS
KCK,H,20,FLOW,20181001 2200,20181001 2200,3, ,CFS
KCK,H,20,FLOW,20181001 2300,20181001 2300,3, ,CFS
KCK,H,20,FLOW,20181002 0000,20181002 0000,3, ,CFS
KCK,H,20,FLOW,20181002 0100,20181002 0100,3, ,CFS
KCK,H,20,FLOW,20181002 0200,20181002 0200,3, ,CFS
KCK,H,20,FLOW,20181002 0300,20181002 0300,3, ,CFS
